theme,keyword,pilates-k,npilates,bikatsu,shiga-seitai,ginza-blv,parler,rintosull,clubpilates,合計
悩み・症状,腰痛,2,24,0,25,0,0,1,0,52
悩み・症状,肩こり,1,5,0,21,1,0,0,0,28
悩み・症状,猫背,0,9,1,9,0,0,0,0,19
悩み・症状,反り腰,1,8,0,6,0,0,1,0,16
悩み・症状,巻き肩,0,3,0,1,0,0,0,0,4
悩み・症状,ぽっこり,26,3,0,0,2,0,1,0,32
悩み・症状,むくみ,2,0,8,1,11,2,0,0,24
悩み・症状,冷え,0,0,3,3,2,0,0,0,8
悩み・症状,便秘,0,0,2,0,0,0,0,0,2
悩み・症状,自律神経,0,2,1,5,0,0,0,0,8
悩み・症状,睡眠,1,2,4,16,0,0,0,0,23
悩み・症状,側弯,0,4,0,0,0,0,0,0,4
悩み・症状,ヘルニア,0,2,0,2,0,0,0,0,4
悩み・症状,坐骨神経,0,3,0,1,0,0,0,0,4
悩み・症状,ストレートネック,1,2,0,11,0,0,0,0,14
悩み・症状,頭痛,1,1,0,15,0,0,0,0,17
悩み・症状,膝,0,7,0,7,1,0,0,0,15
悩み・症状,股関節,0,6,0,5,0,0,0,0,11
悩み・症状,産後,1,8,0,14,0,0,0,0,23
悩み・症状,妊娠,1,3,3,0,0,0,0,0,7
悩み・症状,更年期,1,2,1,0,0,0,0,0,4
悩み・症状,生理,0,0,0,0,0,0,1,0,1
なりたい姿,ダイエット,43,3,17,5,14,12,0,0,94
なりたい姿,痩身,0,0,0,0,37,0,0,0,37
なりたい姿,痩せ,18,4,9,0,38,12,0,0,81
なりたい姿,くびれ,0,3,1,0,1,0,0,0,5
なりたい姿,美脚,0,1,0,3,11,0,0,0,15
なりたい姿,美尻,0,0,0,1,2,0,0,0,3
なりたい姿,二の腕,1,0,0,2,11,0,0,0,14
なりたい姿,小顔,1,1,2,3,9,0,0,0,16
なりたい姿,美姿勢,0,0,0,4,0,0,0,0,4
なりたい姿,姿勢改善,0,6,0,0,0,6,1,0,13
なりたい姿,姿勢,4,46,2,33,2,6,2,0,95
なりたい姿,体幹,1,6,0,24,0,0,0,0,31
なりたい姿,インナーマッスル,26,6,0,0,0,0,0,0,32
なりたい姿,柔軟,0,5,1,3,0,0,0,0,9
なりたい姿,可動域,0,0,0,1,0,0,0,0,1
なりたい姿,ボディメイク,1,6,0,0,0,0,0,0,7
なりたい姿,引き締め,2,2,1,1,7,0,0,0,13
なりたい姿,脚やせ,1,1,0,0,3,0,0,0,5
手法,マシンピラティス,11,31,0,0,0,0,13,0,55
手法,ピラティス,52,145,0,0,0,0,13,2,212
手法,ヨガ,16,4,0,2,0,0,1,0,23
手法,整体,2,8,0,168,0,0,0,0,178
手法,ストレッチ,1,25,2,167,5,0,1,0,201
手法,エステ,0,0,38,1,101,14,0,0,154
手法,リフォーマー,0,3,0,0,0,0,1,0,4
手法,骨盤矯正,0,3,0,28,0,0,0,0,31
手法,骨盤,1,18,1,37,0,2,0,0,59
手法,マッサージ,0,4,6,4,10,0,1,0,25
手法,鍼,0,2,0,0,0,0,0,0,2
手法,パーソナル,1,5,0,2,0,0,0,0,8
手法,筋トレ,18,6,0,8,7,0,0,0,39
手法,トレーニング,27,7,4,27,4,0,0,0,69
検索意図,効果,50,48,43,5,80,4,6,0,236
検索意図,初心者,10,11,2,0,3,0,6,0,32
検索意図,違い,16,12,6,5,17,0,3,0,59
検索意図,とは,17,47,58,6,62,4,7,0,201
検索意図,おすすめ,30,25,21,21,51,6,2,0,156
検索意図,頻度,8,3,2,0,6,0,0,0,19
検索意図,回数,2,3,0,1,5,0,1,0,12
検索意図,体験,1,7,5,0,6,0,9,2,30
検索意図,口コミ,0,5,0,0,1,0,0,0,6
検索意図,比較,4,4,1,0,3,0,0,0,12
検索意図,選び方,4,7,6,1,23,0,0,0,41
検索意図,自宅,16,13,3,4,19,0,2,0,57
検索意図,方法,10,30,37,12,69,14,3,0,175
検索意図,原因,8,45,39,17,64,10,3,0,186
検索意図,改善,7,55,14,33,13,8,3,0,133
検索意図,解消,0,7,11,5,21,0,1,0,45
検索意図,メリット,14,12,7,1,25,2,1,0,62
検索意図,デメリット,2,2,1,0,2,0,1,0,8
検索意図,料金,2,3,1,2,6,0,0,0,14
検索意図,値段,1,0,0,0,0,0,0,0,1
